review_id,date,platform,guest_type,rating,sentiment,comment,issues
REV-0083,2025-09-24,Booking.com,Family,3,Neutral,Met basic expectations,
REV-0084,2025-10-02,Expedia,Business,4,Positive,Very clean rooms and comfortable beds,
REV-0085,2025-12-06,Google Reviews,Conference,4,Positive,Very clean rooms and comfortable beds,
REV-0086,2025-11-13,Expedia,Family,5,Positive,Good value for money,
REV-0087,2025-01-05,Booking.com,Conference,4,Positive,Good value for money,
REV-0088,2025-11-11,TripAdvisor,Business,5,Positive,Great location near the city center,
REV-0089,2025-07-15,Booking.com,Wedding,3,Neutral,Met basic expectations,
REV-0090,2025-05-25,Booking.com,Family,5,Positive,Great location near the city center,
REV-0091,2025-09-21,Expedia,Wedding,1,Negative,Hot water ran out in the shower,Staff
REV-0092,2025-09-21,Booking.com,Business,3,Neutral,Met basic expectations,
REV-0093,2025-10-01,Booking.com,Business,3,Neutral,Met basic expectations,
REV-0094,2025-04-20,Expedia,Business,3,Neutral,Met basic expectations,
REV-0095,2025-08-11,Booking.com,Leisure,1,Negative,Hot water ran out in the shower,"WiFi, Food"
REV-0096,2025-02-07,Booking.com,Leisure,5,Positive,Peaceful and quiet atmosphere,
REV-0097,2025-02-06,TripAdvisor,Conference,4,Positive,Delicious breakfast buffet,
REV-0098,2025-11-19,Expedia,Wedding,4,Positive,Delicious breakfast buffet,
REV-0099,2025-12-11,Booking.com,Family,1,Negative,Hot water ran out in the shower,Food
REV-0100,2025-10-27,Booking.com,Business,4,Positive,Peaceful and quiet atmosphere,
REV-0101,2025-02-24,Google Reviews,Conference,4,Positive,Great location near the city center,
REV-0102,2025-08-13,Expedia,Wedding,5,Positive,Excellent service and friendly staff,
REV-0103,2025-08-31,TripAdvisor,Family,3,Neutral,Met basic expectations,
REV-0104,2025-07-20,Google Reviews,Leisure,4,Positive,Professional and helpful front desk,
REV-0105,2025-11-28,Google Reviews,Business,4,Positive,Peaceful and quiet atmosphere,
REV-0106,2025-03-14,Booking.com,Business,1,Negative,Room was smaller than expected,"Facilities, Food"
REV-0107,2025-02-13,Google Reviews,Leisure,5,Positive,Good value for money,
REV-0108,2025-06-26,TripAdvisor,Wedding,5,Positive,Professional and helpful front desk,
REV-0109,2025-09-20,TripAdvisor,Leisure,3,Neutral,Met basic expectations,
REV-0110,2025-05-10,TripAdvisor,Business,3,Neutral,Met basic expectations,
REV-0111,2025-01-28,Expedia,Family,2,Negative,Hot water ran out in the shower,Staff
REV-0112,2025-02-20,TripAdvisor,Family,4,Positive,Great location near the city center,
REV-0113,2025-07-02,TripAdvisor,Leisure,2,Negative,Room was smaller than expected,Cleanliness
REV-0114,2025-06-12,Expedia,Wedding,4,Positive,Good value for money,
REV-0115,2025-06-06,TripAdvisor,Family,4,Positive,Professional and helpful front desk,
REV-0116,2025-06-11,Expedia,Leisure,1,Negative,Air conditioning not working properly,Food
REV-0117,2025-11-25,Expedia,Conference,5,Positive,Very clean rooms and comfortable beds,
REV-0118,2025-12-14,Google Reviews,Wedding,4,Positive,Great location near the city center,
REV-0119,2025-06-06,Expedia,Family,2,Negative,Hot water ran out in the shower,Staff
REV-0120,2025-03-13,TripAdvisor,Conference,5,Positive,Good value for money,
REV-0121,2025-02-09,Booking.com,Business,5,Positive,Good value for money,
REV-0122,2025-01-16,Expedia,Family,3,Neutral,"Average stay, nothing special",
REV-0123,2025-10-10,Google Reviews,Family,5,Positive,Peaceful and quiet atmosphere,
REV-0124,2025-08-30,TripAdvisor,Conference,4,Positive,Professional and helpful front desk,
REV-0125,2025-10-29,Google Reviews,Leisure,4,Positive,Peaceful and quiet atmosphere,
REV-0126,2025-02-16,Expedia,Conference,4,Positive,Good value for money,
REV-0127,2025-05-03,TripAdvisor,Family,3,Neutral,"Average stay, nothing special",
REV-0128,2025-04-02,TripAdvisor,Wedding,5,Positive,Excellent service and friendly staff,
REV-0129,2025-04-23,Expedia,Leisure,2,Negative,Breakfast options were limited,WiFi
REV-0130,2025-12-09,TripAdvisor,Family,5,Positive,Great location near the city center,
REV-0131,2025-07-18,Expedia,Wedding,5,Positive,Excellent service and friendly staff,
REV-0132,2025-11-29,Google Reviews,Business,5,Positive,Peaceful and quiet atmosphere,
REV-0133,2025-11-21,Google Reviews,Conference,4,Positive,Peaceful and quiet atmosphere,
REV-0134,2025-03-31,Expedia,Wedding,4,Positive,Good value for money,
REV-0135,2025-02-09,Google Reviews,Wedding,5,Positive,Very clean rooms and comfortable beds,
REV-0136,2025-09-22,Expedia,Conference,5,Positive,Great location near the city center,
REV-0137,2025-09-07,Expedia,Family,1,Negative,Air conditioning not working properly,"Cleanliness, Food"
REV-0138,2025-02-09,Google Reviews,Leisure,3,Neutral,"Average stay, nothing special",
REV-0139,2025-07-05,Booking.com,Leisure,4,Positive,Great location near the city center,
REV-0140,2025-02-28,Expedia,Wedding,4,Positive,Peaceful and quiet atmosphere,
REV-0141,2025-03-24,Expedia,Business,3,Neutral,"Average stay, nothing special",
REV-0142,2025-10-21,TripAdvisor,Leisure,4,Positive,Excellent service and friendly staff,
REV-0143,2025-10-21,TripAdvisor,Business,3,Neutral,"Average stay, nothing special",
REV-0144,2025-09-22,Expedia,Family,5,Positive,Good value for money,
REV-0145,2025-01-10,Google Reviews,Business,3,Neutral,Met basic expectations,
REV-0146,2025-08-30,Expedia,Leisure,3,Neutral,Okay for the price,
REV-0147,2025-11-04,TripAdvisor,Family,5,Positive,Very clean rooms and comfortable beds,
REV-0148,2025-11-16,Google Reviews,Leisure,5,Positive,Great location near the city center,
REV-0149,2025-08-21,Booking.com,Leisure,4,Positive,Very clean rooms and comfortable beds,
REV-0150,2025-02-25,Booking.com,Leisure,4,Positive,Peaceful and quiet atmosphere,
REV-0151,2025-12-17,Expedia,Leisure,4,Positive,Very clean rooms and comfortable beds,
REV-0152,2025-09-01,Booking.com,Family,4,Positive,Excellent service and friendly staff,
REV-0153,2025-02-17,Expedia,Leisure,5,Positive,Peaceful and quiet atmosphere,
REV-0154,2025-01-01,Expedia,Family,4,Positive,Professional and helpful front desk,
REV-0155,2025-01-23,Expedia,Leisure,5,Positive,Delicious breakfast buffet,
REV-0156,2025-07-15,Google Reviews,Family,5,Positive,Professional and helpful front desk,
REV-0157,2025-12-23,Booking.com,Wedding,3,Neutral,Okay for the price,
REV-0158,2025-04-30,Booking.com,Conference,4,Positive,Peaceful and quiet atmosphere,
REV-0159,2025-07-29,Google Reviews,Leisure,1,Negative,Hot water ran out in the shower,Facilities
REV-0160,2025-09-25,Booking.com,Family,1,Negative,Hot water ran out in the shower,Food
REV-0161,2025-06-11,Expedia,Conference,2,Negative,Noisy neighbors kept us awake,"Staff, Facilities"
REV-0162,2025-08-05,Google Reviews,Family,3,Neutral,Met basic expectations,
REV-0163,2025-07-23,TripAdvisor,Wedding,4,Positive,Peaceful and quiet atmosphere,
REV-0164,2025-09-05,TripAdvisor,Conference,4,Positive,Delicious breakfast buffet,
REV-0165,2025-05-10,Google Reviews,Family,4,Positive,Good value for money,
REV-0166,2025-07-23,TripAdvisor,Business,5,Positive,Delicious breakfast buffet,
REV-0167,2025-12-25,TripAdvisor,Business,3,Neutral,Okay for the price,
REV-0168,2025-06-23,Booking.com,Leisure,4,Positive,Good value for money,
REV-0169,2025-01-03,Booking.com,Leisure,4,Positive,Peaceful and quiet atmosphere,
REV-0170,2025-08-11,Booking.com,Business,3,Neutral,Okay for the price,
REV-0171,2025-02-10,Booking.com,Wedding,5,Positive,Delicious breakfast buffet,
REV-0172,2025-11-11,Google Reviews,Family,2,Negative,Checkout process took too long,Food
REV-0173,2025-09-11,Expedia,Business,3,Neutral,Met basic expectations,
REV-0174,2025-09-23,Google Reviews,Leisure,1,Negative,Room was smaller than expected,Facilities
REV-0175,2025-03-28,Booking.com,Conference,3,Neutral,"Average stay, nothing special",
REV-0176,2025-03-22,Booking.com,Conference,5,Positive,Great location near the city center,
REV-0177,2025-12-09,Expedia,Wedding,4,Positive,Peaceful and quiet atmosphere,
REV-0178,2025-01-08,Booking.com,Business,4,Positive,Good value for money,
REV-0179,2025-10-14,Google Reviews,Conference,5,Positive,Great location near the city center,
REV-0180,2025-04-26,TripAdvisor,Wedding,5,Positive,Peaceful and quiet atmosphere,
REV-0181,2025-01-03,Google Reviews,Leisure,4,Positive,Excellent service and friendly staff,
REV-0182,2025-10-14,Booking.com,Family,4,Positive,Excellent service and friendly staff,
REV-0183,2025-09-20,Google Reviews,Family,5,Positive,Peaceful and quiet atmosphere,
REV-0184,2025-05-09,Expedia,Wedding,4,Positive,Professional and helpful front desk,
REV-0185,2025-05-05,Google Reviews,Wedding,5,Positive,Peaceful and quiet atmosphere,
REV-0186,2025-01-15,Expedia,Business,3,Neutral,Okay for the price,
REV-0187,2025-11-21,TripAdvisor,Leisure,5,Positive,Delicious breakfast buffet,
REV-0188,2025-06-30,Booking.com,Conference,3,Neutral,"Average stay, nothing special",
REV-0189,2025-07-24,Google Reviews,Business,4,Positive,Very clean rooms and comfortable beds,
REV-0190,2025-09-01,Google Reviews,Conference,3,Neutral,Met basic expectations,
REV-0191,2025-05-18,TripAdvisor,Leisure,4,Positive,Very clean rooms and comfortable beds,
REV-0192,2025-05-01,TripAdvisor,Conference,3,Neutral,"Average stay, nothing special",
REV-0193,2025-05-08,Google Reviews,Leisure,5,Positive,Excellent service and friendly staff,
REV-0194,2025-02-10,Expedia,Family,1,Negative,Checkout process took too long,Noise
REV-0195,2025-07-10,Google Reviews,Wedding,5,Positive,Peaceful and quiet atmosphere,
REV-0196,2025-05-21,Expedia,Leisure,5,Positive,Peaceful and quiet atmosphere,
REV-0197,2025-05-24,Expedia,Leisure,5,Positive,Very clean rooms and comfortable beds,
REV-0198,2025-01-28,Expedia,Wedding,5,Positive,Excellent service and friendly staff,
REV-0199,2025-09-15,Google Reviews,Wedding,5,Positive,Professional and helpful front desk,
REV-0200,2025-03-31,Expedia,Business,5,Positive,Delicious breakfast buffet,
REV-0201,2025-06-11,Booking.com,Business,5,Positive,Delicious breakfast buffet,
REV-0202,2025-10-25,Booking.com,Conference,4,Positive,Professional and helpful front desk,
REV-0203,2025-05-13,TripAdvisor,Family,3,Neutral,Okay for the price,
REV-0204,2025-08-30,Google Reviews,Conference,3,Neutral,Okay for the price,
REV-0205,2025-04-18,Expedia,Conference,4,Positive,Delicious breakfast buffet,
REV-0206,2025-05-24,Expedia,Leisure,4,Positive,Peaceful and quiet atmosphere,
REV-0207,2025-12-18,TripAdvisor,Business,5,Positive,Professional and helpful front desk,
REV-0208,2025-05-01,Expedia,Wedding,3,Neutral,Met basic expectations,
REV-0209,2025-03-18,Expedia,Business,3,Neutral,Okay for the price,
REV-0210,2025-03-10,Google Reviews,Wedding,4,Positive,Peaceful and quiet atmosphere,
REV-0211,2025-10-18,Booking.com,Wedding,2,Negative,Air conditioning not working properly,Cleanliness
REV-0212,2025-05-11,Expedia,Business,4,Positive,Great location near the city center,
REV-0213,2025-05-14,Google Reviews,Conference,4,Positive,Professional and helpful front desk,
REV-0214,2025-05-12,Google Reviews,Business,4,Positive,Great location near the city center,
REV-0215,2025-12-14,TripAdvisor,Family,4,Positive,Good value for money,
REV-0216,2025-10-03,TripAdvisor,Conference,4,Positive,Good value for money,
REV-0217,2025-09-19,Expedia,Wedding,5,Positive,Delicious breakfast buffet,
REV-0218,2025-11-11,Google Reviews,Wedding,5,Positive,Very clean rooms and comfortable beds,
REV-0219,2025-03-27,Google Reviews,Wedding,5,Positive,Peaceful and quiet atmosphere,
REV-0220,2025-07-27,Booking.com,Business,3,Neutral,"Average stay, nothing special",
REV-0221,2025-06-10,Google Reviews,Conference,5,Positive,Peaceful and quiet atmosphere,
REV-0222,2025-11-27,Expedia,Conference,5,Positive,Professional and helpful front desk,
REV-0223,2025-07-05,Expedia,Wedding,3,Neutral,"Average stay, nothing special",
REV-0224,2025-03-06,TripAdvisor,Conference,5,Positive,Good value for money,
REV-0225,2025-02-10,TripAdvisor,Leisure,4,Positive,Excellent service and friendly staff,
REV-0226,2025-02-02,Expedia,Family,2,Negative,Checkout process took too long,"Facilities, WiFi"
REV-0227,2025-02-23,Google Reviews,Family,3,Neutral,Met basic expectations,
REV-0228,2025-07-19,Google Reviews,Leisure,3,Neutral,Okay for the price,
REV-0229,2025-08-15,TripAdvisor,Leisure,4,Positive,Very clean rooms and comfortable beds,
REV-0230,2025-01-15,Booking.com,Conference,5,Positive,Great location near the city center,
REV-0231,2025-09-01,Expedia,Family,5,Positive,Peaceful and quiet atmosphere,
REV-0232,2025-08-16,TripAdvisor,Family,3,Neutral,Met basic expectations,
REV-0233,2025-08-22,Expedia,Family,5,Positive,Peaceful and quiet atmosphere,
REV-0234,2025-06-08,Google Reviews,Wedding,4,Positive,Professional and helpful front desk,
REV-0235,2025-02-15,Expedia,Conference,4,Positive,Great location near the city center,
REV-0236,2025-03-21,Google Reviews,Business,1,Negative,Checkout process took too long,Staff
REV-0237,2025-05-27,Expedia,Family,1,Negative,Noisy neighbors kept us awake,"Staff, WiFi"
REV-0238,2025-08-09,Google Reviews,Family,3,Neutral,"Average stay, nothing special",
REV-0239,2025-10-08,Google Reviews,Leisure,4,Positive,Peaceful and quiet atmosphere,
REV-0240,2025-08-12,Expedia,Leisure,3,Neutral,Met basic expectations,
REV-0241,2025-11-27,Expedia,Wedding,3,Neutral,"Average stay, nothing special",
REV-0242,2025-08-05,TripAdvisor,Family,5,Positive,Peaceful and quiet atmosphere,
REV-0243,2025-12-22,Google Reviews,Conference,5,Positive,Peaceful and quiet atmosphere,
REV-0244,2025-05-18,Expedia,Leisure,5,Positive,Very clean rooms and comfortable beds,
REV-0245,2025-03-11,Google Reviews,Business,5,Positive,Peaceful and quiet atmosphere,
REV-0246,2025-08-20,Google Reviews,Family,4,Positive,Great location near the city center,
REV-0247,2025-01-10,TripAdvisor,Business,5,Positive,Excellent service and friendly staff,
REV-0248,2025-04-06,Booking.com,Conference,3,Neutral,Met basic expectations,
REV-0249,2025-08-13,Booking.com,Leisure,2,Negative,WiFi was very slow,"Cleanliness, Staff"
REV-0250,2025-08-04,Google Reviews,Wedding,5,Positive,Delicious breakfast buffet,
REV-0251,2025-12-23,Booking.com,Conference,2,Negative,Checkout process took too long,WiFi
REV-0252,2025-05-17,Expedia,Business,4,Positive,Very clean rooms and comfortable beds,
REV-0253,2025-04-09,Google Reviews,Wedding,5,Positive,Excellent service and friendly staff,
REV-0254,2025-05-08,Expedia,Wedding,3,Neutral,"Average stay, nothing special",
REV-0255,2025-04-12,Expedia,Business,4,Positive,Very clean rooms and comfortable beds,
REV-0256,2025-08-31,Expedia,Conference,5,Positive,Very clean rooms and comfortable beds,
REV-0257,2025-11-19,Booking.com,Family,4,Positive,Great location near the city center,
REV-0258,2025-09-04,Google Reviews,Leisure,4,Positive,Excellent service and friendly staff,
REV-0259,2025-12-08,TripAdvisor,Business,3,Neutral,Okay for the price,
REV-0260,2025-06-16,Booking.com,Leisure,5,Positive,Peaceful and quiet atmosphere,
REV-0261,2025-03-03,Expedia,Leisure,1,Negative,WiFi was very slow,"Food, Facilities"
REV-0262,2025-03-21,Google Reviews,Business,3,Neutral,Okay for the price,
REV-0263,2025-02-16,Google Reviews,Business,2,Negative,Hot water ran out in the shower,Food
REV-0264,2025-10-02,Booking.com,Leisure,4,Positive,Great location near the city center,
REV-0265,2025-10-13,Google Reviews,Wedding,5,Positive,Excellent service and friendly staff,
REV-0266,2025-12-19,Expedia,Conference,5,Positive,Great location near the city center,
REV-0267,2025-01-21,Expedia,Wedding,4,Positive,Peaceful and quiet atmosphere,
REV-0268,2025-12-23,Expedia,Leisure,4,Positive,Peaceful and quiet atmosphere,
REV-0269,2025-06-28,Google Reviews,Wedding,3,Neutral,Met basic expectations,
REV-0270,2025-10-11,TripAdvisor,Business,4,Positive,Delicious breakfast buffet,
REV-0271,2025-06-01,Google Reviews,Family,4,Positive,Excellent service and friendly staff,
REV-0272,2025-11-23,Expedia,Leisure,5,Positive,Peaceful and quiet atmosphere,
REV-0273,2025-07-06,TripAdvisor,Conference,5,Positive,Good value for money,
REV-0274,2025-10-03,Expedia,Leisure,4,Positive,Delicious breakfast buffet,
REV-0275,2025-10-10,TripAdvisor,Family,4,Positive,Delicious breakfast buffet,
REV-0276,2025-11-25,Google Reviews,Business,2,Negative,Hot water ran out in the shower,WiFi
REV-0277,2025-03-08,TripAdvisor,Business,3,Neutral,Okay for the price,
REV-0278,2025-04-09,Booking.com,Business,4,Positive,Professional and helpful front desk,
REV-0279,2025-07-18,Expedia,Family,4,Positive,Peaceful and quiet atmosphere,
REV-0280,2025-05-12,Booking.com,Conference,3,Neutral,Met basic expectations,
REV-0281,2025-02-06,Booking.com,Leisure,5,Positive,Professional and helpful front desk,
REV-0282,2025-02-10,Expedia,Business,4,Positive,Good value for money,
REV-0283,2025-08-01,Google Reviews,Business,5,Positive,Great location near the city center,
REV-0284,2025-09-28,Booking.com,Business,5,Positive,Excellent service and friendly staff,
REV-0285,2025-04-21,Booking.com,Business,5,Positive,Peaceful and quiet atmosphere,
REV-0286,2025-07-17,TripAdvisor,Leisure,4,Positive,Very clean rooms and comfortable beds,
REV-0287,2025-10-19,TripAdvisor,Family,5,Positive,Delicious breakfast buffet,
REV-0288,2025-02-24,Google Reviews,Wedding,5,Positive,Delicious breakfast buffet,
REV-0289,2025-02-23,TripAdvisor,Leisure,4,Positive,Peaceful and quiet atmosphere,
REV-0290,2025-06-22,TripAdvisor,Family,5,Positive,Delicious breakfast buffet,
REV-0291,2025-06-30,Google Reviews,Family,5,Positive,Great location near the city center,
REV-0292,2025-07-10,Expedia,Wedding,5,Positive,Great location near the city center,
REV-0293,2025-11-08,TripAdvisor,Family,4,Positive,Delicious breakfast buffet,
REV-0294,2025-10-09,Google Reviews,Conference,5,Positive,Delicious breakfast buffet,
REV-0295,2025-07-23,Booking.com,Business,5,Positive,Peaceful and quiet atmosphere,
REV-0296,2025-01-09,TripAdvisor,Conference,1,Negative,Air conditioning not working properly,Staff
REV-0297,2025-01-12,Google Reviews,Family,4,Positive,Peaceful and quiet atmosphere,
REV-0298,2025-10-20,TripAdvisor,Business,1,Negative,Breakfast options were limited,Cleanliness
REV-0299,2025-05-16,Google Reviews,Family,3,Neutral,Okay for the price,
REV-0300,2025-06-03,Booking.com,Family,4,Positive,Very clean rooms and comfortable beds,
REV-0301,2025-02-09,Google Reviews,Wedding,3,Neutral,Met basic expectations,
REV-0302,2025-12-26,Booking.com,Family,5,Positive,Excellent service and friendly staff,
REV-0303,2025-10-23,Expedia,Business,5,Positive,Professional and helpful front desk,
REV-0304,2025-06-21,Google Reviews,Wedding,4,Positive,Professional and helpful front desk,
REV-0305,2025-03-03,TripAdvisor,Family,5,Positive,Good value for money,
REV-0306,2025-11-20,Expedia,Business,4,Positive,Excellent service and friendly staff,
REV-0307,2025-06-13,TripAdvisor,Conference,4,Positive,Very clean rooms and comfortable beds,
REV-0308,2025-03-20,Booking.com,Wedding,5,Positive,Professional and helpful front desk,
REV-0309,2025-11-01,Booking.com,Leisure,4,Positive,Professional and helpful front desk,
REV-0310,2025-07-21,TripAdvisor,Leisure,4,Positive,Delicious breakfast buffet,
REV-0311,2025-10-20,Booking.com,Family,4,Positive,Excellent service and friendly staff,
REV-0312,2025-07-24,Expedia,Leisure,5,Positive,Delicious breakfast buffet,
REV-0313,2025-10-14,TripAdvisor,Wedding,4,Positive,Peaceful and quiet atmosphere,
REV-0314,2025-04-11,TripAdvisor,Leisure,2,Negative,Checkout process took too long,"Staff, Facilities"
REV-0315,2025-02-15,Booking.com,Wedding,4,Positive,Great location near the city center,
REV-0316,2025-04-08,Google Reviews,Conference,4,Positive,Excellent service and friendly staff,
REV-0317,2025-06-06,TripAdvisor,Conference,4,Positive,Professional and helpful front desk,
REV-0318,2025-08-15,TripAdvisor,Wedding,1,Negative,Checkout process took too long,Cleanliness
REV-0319,2025-12-17,Google Reviews,Leisure,5,Positive,Professional and helpful front desk,
REV-0320,2025-02-13,Booking.com,Business,3,Neutral,Met basic expectations,
REV-0321,2025-03-17,Google Reviews,Business,4,Positive,Professional and helpful front desk,
REV-0322,2025-02-26,Google Reviews,Wedding,4,Positive,Great location near the city center,
REV-0323,2025-04-18,TripAdvisor,Leisure,4,Positive,Professional and helpful front desk,
REV-0324,2025-05-13,Expedia,Family,5,Positive,Very clean rooms and comfortable beds,
REV-0325,2025-12-22,Booking.com,Wedding,4,Positive,Good value for money,
REV-0326,2025-09-27,Booking.com,Conference,3,Neutral,Okay for the price,
REV-0327,2025-04-13,Google Reviews,Business,4,Positive,Excellent service and friendly staff,
REV-0328,2025-02-04,Expedia,Conference,5,Positive,Good value for money,
REV-0329,2025-07-04,Booking.com,Business,4,Positive,Good value for money,
