delivery_id,vehicle_id,vehicle_type,driver_id,route,distance_km,is_cross_border,sector,cargo_type,departure_date,planned_hrs,actual_hrs,on_time,delay_hrs,border_delay_hrs,fuel_per_100km,fuel_used_L,fuel_cost_bwp,revenue_bwp,load_tons,load_pct,harsh_events,speeding_events,idle_time_hrs,maint_flag,vehicle_age,year,month
DLV-00019,TD-076,Refrigerated,DRV-052,Gaborone-Francistown,400,0,Mining,Agricultural Produce,2023-07-24,5.0,4.83,1,0.0,0.0,38.2,152.9,1673.0,5467.0,13.7,75.9,3,0,0.72,0,5,2023,2023-07
DLV-00020,TD-065,Refrigerated,DRV-010,Local Gaborone,35,0,Pharmaceutical,Mining Supplies,2023-10-20,1.5,1.98,0,0.26,0.0,44.5,15.6,154.0,595.0,17.0,94.5,0,0,0.31,0,8,2023,2023-10
DLV-00021,TD-070,Refrigerated,DRV-032,Gaborone-Windhoek,1400,1,FMCG,Pharmaceuticals,2024-02-14,18.0,21.7,0,1.0,2.54,32.3,452.3,4871.0,17003.0,12.1,67.5,0,0,3.3,0,7,2024,2024-02
DLV-00022,TD-133,Courier Van,DRV-069,Gaborone-Windhoek,1400,1,Mining,FMCG Cargo,2024-03-10,18.0,21.82,0,1.12,2.51,11.8,165.7,1666.0,39123.0,1.0,99.8,1,1,2.88,1,9,2024,2024-03
DLV-00023,TD-083,B-Train,DRV-027,Gaborone-Palapye,240,0,Mining,Fresh Produce,2024-11-07,3.0,2.64,1,0.0,0.0,41.8,100.4,1081.0,2959.0,30.8,77.0,0,0,0.5,0,3,2024,2024-11
DLV-00024,TD-115,Light Commercial,DRV-011,Gaborone-Windhoek,1400,1,Pharmaceutical,Agricultural Produce,2023-12-28,18.0,24.93,0,4.23,4.49,10.7,149.4,1669.0,21863.0,2.1,71.0,1,1,3.64,1,10,2023,2023-12
DLV-00025,TD-020,Long-Haul Articulated,DRV-104,Gaborone-Francistown,400,0,FMCG,Construction Materials,2025-02-06,5.0,5.37,1,0.0,0.0,44.0,175.8,1890.0,5261.0,28.2,93.9,2,0,0.73,0,8,2025,2025-02
DLV-00026,TD-009,Long-Haul Articulated,DRV-033,Local Gaborone,35,0,Mining,Mining Supplies,2025-03-08,1.5,1.61,1,0.0,0.0,34.1,12.0,124.0,366.0,22.4,74.7,0,0,0.24,0,5,2025,2025-03
DLV-00027,TD-040,Long-Haul Articulated,DRV-116,Gaborone-Francistown,400,0,FMCG,Fresh Produce,2024-03-30,5.0,5.74,1,0.0,0.0,31.1,124.5,1274.0,4182.0,22.4,74.7,1,0,0.52,1,10,2024,2024-03
DLV-00028,TD-064,Refrigerated,DRV-030,Gaborone-Palapye,240,0,Mining,FMCG Cargo,2023-07-10,3.0,3.43,1,0.0,0.0,38.2,91.6,1015.0,3487.0,14.5,80.7,0,0,0.23,1,10,2023,2023-07
DLV-00029,TD-068,Refrigerated,DRV-067,Gaborone-Johannesburg,360,1,Pharmaceutical,Pharmaceuticals,2023-08-08,6.5,9.13,0,1.66,2.0,29.6,106.7,1173.0,4206.0,11.7,64.9,1,0,0.84,0,6,2023,2023-08
DLV-00030,TD-045,Long-Haul Articulated,DRV-114,Local Gaborone,35,0,Mining,Agricultural Produce,2024-11-29,1.5,1.27,1,0.0,0.0,41.5,14.5,156.0,487.0,29.8,99.5,0,0,0.17,0,7,2024,2024-11
DLV-00031,TD-139,Courier Van,DRV-075,Gaborone-Johannesburg,360,1,FMCG,Agricultural Produce,2023-06-11,6.5,10.02,0,2.54,3.48,8.7,31.5,318.0,7506.0,0.7,74.5,0,1,1.1,0,6,2023,2023-06
DLV-00032,TD-036,Long-Haul Articulated,DRV-061,Francistown-Harare,490,1,Construction,General Goods,2024-01-05,9.0,12.25,0,1.9,3.0,33.4,163.6,1828.0,5399.0,23.6,78.7,1,0,1.1,0,8,2024,2024-01
DLV-00033,TD-023,Long-Haul Articulated,DRV-017,Gaborone-Maun,680,0,FMCG,Pharmaceuticals,2025-01-04,8.0,7.33,1,0.0,0.0,37.1,252.2,2674.0,7271.0,22.9,76.4,2,1,1.41,0,4,2025,2025-01
DLV-00034,TD-082,B-Train,DRV-019,Gaborone-Maun,680,0,Construction,Pharmaceuticals,2024-11-27,8.0,8.39,1,0.0,0.0,40.7,276.5,3049.0,8027.0,29.5,73.8,1,0,1.56,0,7,2024,2024-11
DLV-00035,TD-034,Long-Haul Articulated,DRV-111,Gaborone-Maun,680,0,Agriculture,Agricultural Produce,2023-02-26,8.0,8.2,1,0.0,0.0,30.2,205.4,2106.0,6339.0,20.0,66.6,0,0,1.07,0,5,2023,2023-02
DLV-00036,TD-089,B-Train,DRV-133,Francistown-Harare,490,1,FMCG,Agricultural Produce,2023-03-22,9.0,10.53,0,0.18,1.69,52.0,254.9,2596.0,7703.0,39.3,98.3,1,1,1.97,0,3,2023,2023-03
DLV-00037,TD-137,Courier Van,DRV-024,Gaborone-Palapye,240,0,Agriculture,FMCG Cargo,2023-06-22,3.0,3.15,1,0.0,0.0,10.3,24.8,268.0,5803.0,0.9,86.3,0,0,0.3,0,3,2023,2023-06
DLV-00038,TD-011,Long-Haul Articulated,DRV-008,Gaborone-Windhoek,1400,1,Mining,General Goods,2024-10-18,18.0,21.27,0,0.57,3.02,41.3,578.8,6294.0,16865.0,25.8,86.0,1,0,3.89,0,6,2024,2024-10
DLV-00039,TD-008,Long-Haul Articulated,DRV-128,Gaborone-Lusaka,1300,1,Pharmaceutical,Construction Materials,2023-10-24,20.0,23.45,0,0.45,4.35,41.3,537.3,5490.0,15907.0,26.2,87.4,1,4,2.93,0,5,2023,2023-10
DLV-00040,TD-016,Long-Haul Articulated,DRV-041,Gaborone-Johannesburg,360,1,Construction,Pharmaceuticals,2024-05-10,6.5,8.18,0,0.71,1.71,38.9,139.9,1432.0,4247.0,25.3,84.3,0,1,1.49,0,4,2024,2024-05
DLV-00041,TD-089,B-Train,DRV-103,Gaborone-Windhoek,1400,1,Retail,Agricultural Produce,2024-01-15,18.0,20.01,1,0.0,2.97,40.3,564.4,5727.0,15837.0,28.3,70.7,3,1,4.22,0,3,2024,2024-01
DLV-00042,TD-013,Long-Haul Articulated,DRV-075,Gaborone-Johannesburg,360,1,Construction,Agricultural Produce,2024-09-22,6.5,8.88,0,1.4,1.87,42.4,152.8,1531.0,4768.0,28.4,94.6,2,0,0.98,0,5,2024,2024-09
DLV-00043,TD-081,B-Train,DRV-049,Gaborone-Windhoek,1400,1,Retail,Pharmaceuticals,2024-06-11,18.0,21.79,0,1.09,2.75,46.2,646.8,6796.0,21909.0,39.1,97.8,1,0,1.61,0,8,2024,2024-06
DLV-00044,TD-056,Refrigerated,DRV-091,Francistown-Harare,490,1,Mining,General Goods,2023-10-16,9.0,12.55,0,2.2,3.09,45.0,220.3,2366.0,8266.0,16.9,93.7,0,0,1.18,0,7,2023,2023-10
DLV-00045,TD-138,Courier Van,DRV-003,Gaborone-Palapye,240,0,Mining,Pharmaceuticals,2023-05-18,3.0,2.76,1,0.0,0.0,8.4,20.1,208.0,5016.0,0.7,74.6,1,0,0.38,0,3,2023,2023-05
DLV-00046,TD-093,B-Train,DRV-074,Francistown-Harare,490,1,Mining,Pharmaceuticals,2024-05-31,9.0,11.65,0,1.3,3.68,38.1,186.7,2088.0,5581.0,28.5,71.2,1,2,2.17,0,4,2024,2024-05
DLV-00047,TD-033,Long-Haul Articulated,DRV-025,Gaborone-Johannesburg,360,1,Construction,Fresh Produce,2025-03-24,6.5,9.79,0,2.31,2.95,39.6,142.4,1476.0,4239.0,25.2,84.1,0,0,1.54,1,9,2025,2025-03
DLV-00048,TD-012,Long-Haul Articulated,DRV-010,Gaborone-Francistown,400,0,Retail,FMCG Cargo,2023-12-08,5.0,5.61,1,0.0,0.0,34.7,138.7,1448.0,4421.0,23.7,78.9,0,0,0.87,1,9,2023,2023-12
DLV-00049,TD-084,B-Train,DRV-082,Gaborone-Maun,680,0,Retail,Pharmaceuticals,2024-09-23,8.0,9.17,1,0.0,0.0,44.0,299.0,3144.0,8736.0,32.1,80.3,1,0,2.17,1,10,2024,2024-09
DLV-00050,TD-077,Refrigerated,DRV-122,Local Gaborone,35,0,Mining,Fresh Produce,2023-12-06,1.5,1.27,1,0.0,0.0,31.8,11.1,116.0,406.0,11.6,64.4,0,0,0.12,0,7,2023,2023-12
DLV-00051,TD-007,Long-Haul Articulated,DRV-122,Gaborone-Palapye,240,0,FMCG,FMCG Cargo,2025-03-12,3.0,2.98,1,0.0,0.0,28.6,68.7,719.0,2085.0,18.6,62.1,0,0,0.28,1,10,2025,2025-03
DLV-00052,TD-038,Long-Haul Articulated,DRV-063,Gaborone-Lusaka,1300,1,Mining,Construction Materials,2024-12-18,20.0,22.7,1,0.0,1.67,33.5,435.8,4526.0,14131.0,23.3,77.6,2,2,1.77,0,8,2024,2024-12
DLV-00053,TD-053,Long-Haul Articulated,DRV-106,Gaborone-Lusaka,1300,1,Agriculture,Agricultural Produce,2024-09-18,20.0,24.44,0,1.44,4.05,28.8,374.2,3776.0,11925.0,19.7,65.5,1,2,2.74,0,6,2024,2024-09
DLV-00054,TD-123,Light Commercial,DRV-135,Gaborone-Windhoek,1400,1,Construction,Fresh Produce,2023-06-27,18.0,22.37,0,1.67,4.19,12.4,173.6,1788.0,22697.0,2.2,73.7,0,2,2.73,0,6,2023,2023-06
DLV-00055,TD-124,Light Commercial,DRV-050,Gaborone-Palapye,240,0,Retail,Fresh Produce,2024-07-25,3.0,3.21,1,0.0,0.0,10.7,25.6,261.0,3797.0,2.2,71.9,0,0,0.38,0,5,2024,2024-07
DLV-00056,TD-126,Light Commercial,DRV-082,Francistown-Harare,490,1,Construction,Fresh Produce,2024-07-27,9.0,14.57,0,4.22,3.53,11.4,56.0,593.0,7709.0,2.1,71.5,1,0,3.45,1,9,2024,2024-07
DLV-00057,TD-102,B-Train,DRV-089,Gaborone-Lusaka,1300,1,Retail,Fresh Produce,2023-02-13,20.0,25.34,0,2.34,4.34,47.0,610.8,6625.0,17938.0,34.5,86.2,0,2,4.03,0,5,2023,2023-02
DLV-00058,TD-052,Long-Haul Articulated,DRV-138,Francistown-Harare,490,1,FMCG,Construction Materials,2024-12-13,9.0,11.02,0,0.67,1.48,40.0,196.1,2083.0,5805.0,25.4,84.6,0,1,1.48,0,5,2024,2024-12
DLV-00059,TD-013,Long-Haul Articulated,DRV-136,Francistown-Harare,490,1,Retail,FMCG Cargo,2023-08-27,9.0,10.08,1,0.0,1.35,39.1,191.4,1913.0,5985.0,26.2,87.2,0,0,1.42,0,5,2023,2023-08
DLV-00060,TD-105,B-Train,DRV-122,Gaborone-Maun,680,0,Construction,FMCG Cargo,2023-07-24,8.0,8.81,1,0.0,0.0,51.9,353.2,3620.0,10723.0,39.4,98.6,2,2,0.82,0,7,2023,2023-07
DLV-00061,TD-023,Long-Haul Articulated,DRV-060,Gaborone-Francistown,400,0,Agriculture,FMCG Cargo,2025-01-10,5.0,5.92,0,0.17,0.0,32.8,131.0,1446.0,3752.0,20.1,67.0,0,0,0.85,0,4,2025,2025-01
DLV-00062,TD-010,Long-Haul Articulated,DRV-102,Gaborone-Maun,680,0,Construction,Mining Supplies,2025-02-05,8.0,8.21,1,0.0,0.0,46.8,318.2,3509.0,9238.0,29.1,97.0,0,3,1.14,1,9,2025,2025-02
DLV-00063,TD-077,Refrigerated,DRV-028,Gaborone-Francistown,400,0,FMCG,Fresh Produce,2024-04-10,5.0,4.64,1,0.0,0.0,48.1,192.3,2113.0,7023.0,17.6,97.5,0,3,0.77,0,7,2024,2024-04
DLV-00064,TD-070,Refrigerated,DRV-050,Local Gaborone,35,0,Mining,Fresh Produce,2023-06-16,1.5,1.4,1,0.0,0.0,37.3,13.1,133.0,494.0,14.1,78.4,0,0,0.16,0,7,2023,2023-06
DLV-00065,TD-004,Long-Haul Articulated,DRV-087,Gaborone-Maun,680,0,FMCG,Construction Materials,2024-11-21,8.0,9.04,1,0.0,0.0,39.4,267.8,2776.0,8144.0,25.7,85.5,0,2,1.46,1,10,2024,2024-11
DLV-00066,TD-132,Courier Van,DRV-084,Gaborone-Lusaka,1300,1,Mining,Pharmaceuticals,2024-11-16,20.0,23.49,0,0.49,1.65,8.1,105.5,1081.0,23887.0,0.7,65.6,0,1,3.1,0,8,2024,2024-11
DLV-00067,TD-002,Long-Haul Articulated,DRV-067,Francistown-Harare,490,1,Construction,Mining Supplies,2024-04-02,9.0,10.98,0,0.63,1.93,35.3,173.2,1761.0,5688.0,24.9,82.9,0,0,1.01,0,7,2024,2024-04
DLV-00068,TD-061,Refrigerated,DRV-016,Gaborone-Windhoek,1400,1,Pharmaceutical,General Goods,2024-04-21,18.0,19.42,1,0.0,1.56,41.4,580.1,6435.0,22036.0,15.7,87.4,2,1,4.31,0,3,2024,2024-04
DLV-00069,TD-031,Long-Haul Articulated,DRV-076,Gaborone-Palapye,240,0,FMCG,Construction Materials,2023-08-15,3.0,3.79,0,0.34,0.0,36.2,86.9,972.0,2627.0,23.5,78.2,0,0,0.54,1,9,2023,2023-08
DLV-00070,TD-107,B-Train,DRV-121,Gaborone-Windhoek,1400,1,Agriculture,Agricultural Produce,2024-11-11,18.0,20.33,1,0.0,1.76,37.6,527.0,5722.0,15657.0,28.0,69.9,2,1,3.25,0,7,2024,2024-11
DLV-00071,TD-135,Courier Van,DRV-115,Gaborone-Johannesburg,360,1,Agriculture,FMCG Cargo,2024-01-06,6.5,11.95,0,4.47,4.21,11.1,40.1,405.0,9688.0,1.0,96.1,0,0,1.62,1,9,2024,2024-01
DLV-00072,TD-043,Long-Haul Articulated,DRV-084,Gaborone-Maun,680,0,Agriculture,Pharmaceuticals,2023-04-30,8.0,9.09,1,0.0,0.0,32.2,219.0,2325.0,6494.0,20.5,68.2,0,1,1.2,0,8,2023,2023-04
DLV-00073,TD-131,Courier Van,DRV-115,Gaborone-Johannesburg,360,1,Mining,Pharmaceuticals,2023-05-16,6.5,8.24,0,0.76,2.45,10.1,36.3,371.0,8761.0,0.9,86.9,1,1,1.12,0,4,2023,2023-05
DLV-00074,TD-102,B-Train,DRV-066,Gaborone-Francistown,400,0,Mining,FMCG Cargo,2023-08-12,5.0,4.75,1,0.0,0.0,33.6,134.6,1399.0,4027.0,25.2,62.9,0,0,1.0,0,5,2023,2023-08
DLV-00075,TD-139,Courier Van,DRV-016,Gaborone-Johannesburg,360,1,Mining,Pharmaceuticals,2023-02-02,6.5,9.16,0,1.69,2.43,11.5,41.3,442.0,9993.0,1.0,99.1,0,0,2.03,0,6,2023,2023-02
DLV-00076,TD-096,B-Train,DRV-098,Gaborone-Lusaka,1300,1,Construction,Agricultural Produce,2024-01-22,20.0,20.03,1,0.0,1.28,51.0,663.0,7309.0,20502.0,39.4,98.6,0,0,1.82,0,4,2024,2024-01
DLV-00077,TD-090,B-Train,DRV-031,Gaborone-Maun,680,0,Retail,Construction Materials,2024-02-07,8.0,9.61,0,0.41,0.0,51.6,350.9,3810.0,10161.0,37.4,93.4,1,3,1.75,1,9,2024,2024-02
DLV-00078,TD-119,Light Commercial,DRV-140,Gaborone-Palapye,240,0,Construction,Construction Materials,2024-01-24,3.0,4.0,0,0.55,0.0,10.5,25.1,262.0,3653.0,2.1,69.2,0,1,0.63,0,5,2024,2024-01
DLV-00079,TD-071,Refrigerated,DRV-049,Gaborone-Maun,680,0,Pharmaceutical,Agricultural Produce,2023-04-26,8.0,8.19,1,0.0,0.0,40.1,272.9,3012.0,11095.0,16.3,90.6,3,0,0.61,0,5,2023,2023-04
DLV-00080,TD-062,Refrigerated,DRV-053,Gaborone-Francistown,400,0,Mining,General Goods,2024-08-31,5.0,4.61,1,0.0,0.0,39.2,157.0,1686.0,5606.0,14.0,77.9,1,0,1.08,0,6,2024,2024-08
DLV-00081,TD-063,Refrigerated,DRV-012,Gaborone-Francistown,400,0,Construction,Pharmaceuticals,2023-08-28,5.0,5.0,1,0.0,0.0,30.5,122.1,1283.0,4483.0,11.2,62.3,0,1,0.66,0,3,2023,2023-08
DLV-00082,TD-060,Refrigerated,DRV-082,Gaborone-Palapye,240,0,Agriculture,Construction Materials,2025-03-02,3.0,4.22,0,0.77,0.0,47.6,114.3,1158.0,4006.0,16.7,92.7,0,0,1.0,1,9,2025,2025-03
DLV-00083,TD-134,Courier Van,DRV-057,Gaborone-Maun,680,0,Construction,Fresh Produce,2023-10-09,8.0,7.05,1,0.0,0.0,10.3,70.2,705.0,17023.0,0.9,89.4,2,0,1.26,0,3,2023,2023-10
DLV-00084,TD-127,Light Commercial,DRV-013,Gaborone-Lusaka,1300,1,FMCG,FMCG Cargo,2024-11-18,20.0,25.12,0,2.12,3.75,11.0,143.4,1489.0,20806.0,2.2,72.7,4,1,5.05,1,9,2024,2024-11
DLV-00085,TD-077,Refrigerated,DRV-097,Gaborone-Maun,680,0,Retail,Agricultural Produce,2024-07-04,8.0,8.34,1,0.0,0.0,43.3,294.6,2947.0,11543.0,17.0,94.3,3,0,1.08,0,7,2024,2024-07
DLV-00086,TD-015,Long-Haul Articulated,DRV-106,Local Gaborone,35,0,Construction,Construction Materials,2024-06-26,1.5,1.98,0,0.25,0.0,33.2,11.6,118.0,370.0,22.7,75.5,0,0,0.22,1,9,2024,2024-06
DLV-00087,TD-021,Long-Haul Articulated,DRV-116,Gaborone-Windhoek,1400,1,FMCG,General Goods,2024-07-02,18.0,23.08,0,2.38,3.9,35.1,491.1,4840.0,16503.0,25.3,84.2,3,1,2.1,0,7,2024,2024-07
DLV-00088,TD-049,Long-Haul Articulated,DRV-056,Gaborone-Johannesburg,360,1,Construction,Mining Supplies,2023-12-07,6.5,11.65,0,4.18,4.35,28.2,101.5,1127.0,3055.0,18.2,60.6,0,0,1.68,1,10,2023,2023-12
DLV-00089,TD-123,Light Commercial,DRV-063,Gaborone-Johannesburg,360,1,Pharmaceutical,Construction Materials,2024-12-21,6.5,9.05,0,1.57,2.39,10.3,37.0,386.0,5649.0,2.1,71.3,0,0,0.71,0,6,2024,2024-12
DLV-00090,TD-079,Refrigerated,DRV-067,Gaborone-Windhoek,1400,1,FMCG,Construction Materials,2024-05-24,18.0,21.58,0,0.88,1.35,45.3,634.7,6637.0,25012.0,17.9,99.3,0,1,1.99,1,10,2024,2024-05
DLV-00091,TD-053,Long-Haul Articulated,DRV-095,Gaborone-Windhoek,1400,1,FMCG,Pharmaceuticals,2023-02-16,18.0,22.38,0,1.68,4.02,37.9,530.7,5635.0,16098.0,24.6,82.1,0,2,3.49,0,6,2023,2023-02
DLV-00092,TD-076,Refrigerated,DRV-040,Gaborone-Lusaka,1300,1,Retail,Fresh Produce,2023-08-24,20.0,22.9,1,0.0,2.99,37.4,486.5,5143.0,16340.0,12.6,69.8,2,1,3.14,0,5,2023,2023-08
DLV-00093,TD-066,Refrigerated,DRV-126,Gaborone-Windhoek,1400,1,Pharmaceutical,FMCG Cargo,2025-01-27,18.0,21.28,0,0.58,2.61,34.1,477.3,5043.0,16531.0,11.8,65.6,0,2,3.04,0,7,2025,2025-01
DLV-00094,TD-139,Courier Van,DRV-016,Gaborone-Maun,680,0,Agriculture,General Goods,2023-03-18,8.0,7.7,1,0.0,0.0,10.0,68.3,743.0,16513.0,0.9,86.7,2,0,1.71,0,6,2023,2023-03
DLV-00095,TD-036,Long-Haul Articulated,DRV-060,Gaborone-Lusaka,1300,1,Mining,FMCG Cargo,2023-06-04,20.0,22.8,1,0.0,1.77,41.8,543.4,6036.0,15563.0,25.7,85.5,2,0,3.28,0,8,2023,2023-06
DLV-00096,TD-125,Light Commercial,DRV-005,Local Gaborone,35,0,Mining,Construction Materials,2024-07-18,1.5,1.61,1,0.0,0.0,10.1,3.5,37.0,466.0,1.8,60.5,0,1,0.21,0,7,2024,2024-07
DLV-00097,TD-138,Courier Van,DRV-074,Gaborone-Palapye,240,0,Mining,Construction Materials,2024-12-15,3.0,2.55,1,0.0,0.0,8.2,19.8,219.0,4514.0,0.7,67.2,0,0,0.47,0,3,2024,2024-12
DLV-00098,TD-062,Refrigerated,DRV-050,Gaborone-Maun,680,0,Agriculture,Construction Materials,2023-09-16,8.0,8.66,1,0.0,0.0,35.3,240.4,2623.0,9079.0,13.4,74.2,0,0,1.01,0,6,2023,2023-09
DLV-00099,TD-096,B-Train,DRV-104,Gaborone-Johannesburg,360,1,Construction,Construction Materials,2023-09-07,6.5,7.77,0,0.29,1.79,46.1,165.8,1824.0,4962.0,34.5,86.1,0,0,1.06,0,4,2023,2023-09
DLV-00100,TD-024,Long-Haul Articulated,DRV-104,Gaborone-Francistown,400,0,Construction,Pharmaceuticals,2024-07-19,5.0,4.25,1,0.0,0.0,29.1,116.5,1143.0,3486.0,18.7,62.2,1,0,0.58,0,5,2024,2024-07
DLV-00101,TD-022,Long-Haul Articulated,DRV-128,Gaborone-Maun,680,0,Construction,FMCG Cargo,2025-03-14,8.0,7.42,1,0.0,0.0,30.2,205.2,2163.0,6075.0,19.1,63.8,2,1,0.93,0,7,2025,2025-03
DLV-00102,TD-059,Refrigerated,DRV-055,Gaborone-Francistown,400,0,Pharmaceutical,Construction Materials,2024-05-01,5.0,5.1,1,0.0,0.0,31.4,125.6,1244.0,4454.0,11.1,61.9,0,0,0.93,1,10,2024,2024-05
DLV-00103,TD-140,Courier Van,DRV-009,Gaborone-Palapye,240,0,Retail,Agricultural Produce,2023-11-19,3.0,3.71,0,0.26,0.0,11.5,27.5,297.0,6054.0,0.9,90.1,0,0,0.77,0,6,2023,2023-11
DLV-00104,TD-020,Long-Haul Articulated,DRV-077,Gaborone-Lusaka,1300,1,Retail,Construction Materials,2023-09-04,20.0,24.96,0,1.96,3.92,34.5,448.9,4963.0,13753.0,22.7,75.6,0,0,4.92,0,8,2023,2023-09
DLV-00105,TD-099,B-Train,DRV-036,Gaborone-Windhoek,1400,1,Pharmaceutical,FMCG Cargo,2023-03-22,18.0,21.48,0,0.78,3.61,37.5,525.2,5203.0,15520.0,27.7,69.3,0,2,3.97,0,5,2023,2023-03
DLV-00106,TD-084,B-Train,DRV-008,Gaborone-Lusaka,1300,1,Pharmaceutical,Fresh Produce,2025-03-13,20.0,24.9,0,1.9,2.72,40.8,529.9,5891.0,15440.0,29.7,74.2,0,2,4.56,1,10,2025,2025-03
DLV-00107,TD-048,Long-Haul Articulated,DRV-098,Gaborone-Lusaka,1300,1,Mining,Agricultural Produce,2024-09-25,20.0,24.55,0,1.55,3.79,30.0,389.5,4205.0,12043.0,19.9,66.2,0,1,2.23,0,7,2024,2024-09
DLV-00108,TD-100,B-Train,DRV-082,Gaborone-Maun,680,0,FMCG,General Goods,2023-04-04,8.0,8.28,1,0.0,0.0,53.5,363.9,3793.0,10632.0,39.1,97.7,1,0,1.96,0,8,2023,2023-04
DLV-00109,TD-027,Long-Haul Articulated,DRV-034,Gaborone-Palapye,240,0,Mining,Mining Supplies,2024-03-17,3.0,2.55,1,0.0,0.0,28.7,68.9,684.0,2155.0,19.2,64.1,0,0,0.24,0,4,2024,2024-03
