project_id,project_type,region,project_manager,tender_type,start_date,planned_end_date,actual_end_date,planned_duration_months,actual_duration_months,delay_months,delay_cause,status,contracted_budget_bwp,actual_cost_bwp,cost_variance_bwp,overrun_pct,will_overrun,labour_cost_bwp,material_cost_bwp,equipment_cost_bwp,subcontractor_cost_bwp,overhead_cost_bwp,material_waste_cost_bwp,material_waste_pct,workforce_headcount,quality_score,bid_estimate_bwp,bid_accuracy_pct,risk_score
SCL-0011,Government Office,Gaborone,PM_Moeti,Government,2020-10-15,2021-07-12,2021-08-11,9,10,1,Material delivery delays,Completed,6741000.0,7696500.0,955500.0,14.2,1,2653500.0,3318500.0,1267200.0,1043600.0,-586300.0,208500.0,6.3,26,89.1,6081800.0,79.0,0.2559
SCL-0012,Road Construction,Francistown,PM_Kebonye,Government,2022-07-01,2025-05-16,,35,36,1,Equipment breakdown,Active,13590000.0,13411000.0,-179000.0,0.0,0,3759100.0,4808700.0,2183400.0,1053100.0,1606700.0,541700.0,11.3,31,,12835800.0,95.7,0.7258
SCL-0013,Road Construction,Serowe,PM_Moeti,Private,2023-05-07,2025-06-25,,26,30,4,Design changes,Active,4258000.0,6516400.0,2258400.0,53.0,1,1897700.0,2136600.0,1003600.0,479100.0,999400.0,323000.0,15.1,21,,3857600.0,59.2,0.2734
SCL-0014,Road Construction,Maun,PM_Ditiro,Private,2021-07-10,2023-12-27,2025-03-21,30,45,15,Subcontractor failure,Completed,7494000.0,9351700.0,1857700.0,24.8,1,3497900.0,3226300.0,1497700.0,535400.0,594400.0,334700.0,10.4,24,71.5,7042700.0,75.3,0.5357
SCL-0015,Commercial Building,Gaborone,PM_Kebonye,Government,2021-05-24,2023-06-13,2023-06-13,25,25,0,None,Completed,4524000.0,4521200.0,-2800.0,0.0,0,1783100.0,1559400.0,791700.0,286800.0,100200.0,134600.0,8.6,21,62.4,4256400.0,94.1,0.4098
SCL-0016,Healthcare Facility,Francistown,PM_Ditiro,Government,2023-09-02,2024-06-28,2024-07-28,10,11,1,Cash flow constraints,Completed,6147000.0,5701800.0,-445200.0,0.0,0,2271900.0,1789500.0,696400.0,287100.0,656900.0,111600.0,6.2,24,73.2,6183000.0,91.6,0.3054
SCL-0017,Healthcare Facility,Gaborone,PM_Moeti,Government,2019-09-03,2021-04-25,2021-06-24,20,22,2,Design changes,Completed,8088000.0,7992200.0,-95800.0,0.0,0,2380400.0,2767200.0,1308200.0,1087500.0,448900.0,304100.0,11.0,30,89.6,7708300.0,96.4,0.1695
SCL-0018,Healthcare Facility,Maun,PM_Kebonye,Private,2019-12-27,2020-08-23,2020-09-22,8,9,1,Cash flow constraints,Completed,3047000.0,3041000.0,-6000.0,0.0,0,1165100.0,1063800.0,499300.0,414800.0,-102000.0,120300.0,11.3,18,63.5,2917100.0,95.9,0.4584
SCL-0019,Road Construction,Maun,PM_Kebonye,Government,2021-06-04,2022-12-26,2023-09-22,19,28,9,Scope creep,Completed,23206000.0,32024700.0,8818700.0,38.0,1,10753400.0,10945700.0,5183700.0,2725800.0,2416100.0,676500.0,6.2,54,74.9,22038100.0,68.8,0.7595
SCL-0020,Road Construction,Gaborone,PM_Ditiro,Government,2018-06-06,2019-09-29,2020-07-25,16,26,10,Design changes,Completed,24176000.0,30637800.0,6461800.0,26.7,1,11703500.0,10632900.0,4317300.0,2712000.0,1272100.0,1627400.0,15.3,53,75.1,21764500.0,71.0,0.5294
SCL-0021,Healthcare Facility,Francistown,PM_Ditiro,Government,2021-09-14,2023-05-07,2023-09-04,20,24,4,Scope creep,Completed,8601000.0,12901700.0,4300700.0,50.0,1,4528500.0,5161100.0,2009800.0,1360400.0,-158100.0,544200.0,10.5,27,83.3,8706100.0,67.5,0.3602
SCL-0022,Residential Building,Serowe,PM_Ditiro,Government,2021-03-21,2022-06-14,2022-09-12,15,18,3,Subcontractor failure,Completed,10254000.0,14795300.0,4541300.0,44.3,1,5399300.0,5153800.0,2279200.0,1496100.0,466900.0,644800.0,12.5,34,75.7,10181100.0,68.8,0.2997
SCL-0023,Road Construction,Francistown,PM_Ditiro,Government,2018-07-09,2019-03-06,2019-03-06,8,8,0,None,Completed,7381000.0,7338000.0,-43000.0,0.0,0,2480400.0,2894600.0,1142600.0,729700.0,90700.0,114200.0,3.9,21,83.1,7474300.0,98.1,0.5387
SCL-0024,Road Construction,Maun,PM_Kebonye,Government,2023-03-18,2025-03-07,,24,34,10,Labour disputes,Active,24075000.0,28278500.0,4203500.0,17.5,1,11276500.0,10419800.0,4338100.0,4207500.0,-1963400.0,1940600.0,18.6,57,,24886700.0,88.0,0.7771
SCL-0025,Healthcare Facility,Serowe,PM_Segametsi,Private,2019-10-14,2021-06-05,2021-08-04,20,22,2,Cash flow constraints,Completed,5473000.0,6423200.0,950200.0,17.4,1,2371900.0,2664800.0,964400.0,497500.0,-75400.0,369400.0,13.9,21,60.4,5658800.0,88.1,0.5951
SCL-0026,Road Construction,Francistown,PM_Kebonye,Government,2020-05-26,2022-11-12,2024-06-04,30,49,19,Material delivery delays,Completed,18267000.0,22903200.0,4636200.0,25.4,1,8152800.0,8299300.0,3060100.0,3217500.0,173500.0,706800.0,8.5,47,78.8,17482600.0,76.3,0.6346
SCL-0027,Road Construction,Palapye,PM_Ditiro,Private,2022-09-13,2025-06-29,,34,35,1,Weather conditions,Active,21776000.0,20211900.0,-1564100.0,0.0,0,7040900.0,6891100.0,2650000.0,2362500.0,1267400.0,472500.0,6.9,53,,22602000.0,88.2,0.5298
SCL-0028,Healthcare Facility,Serowe,PM_Moeti,Private,2018-04-22,2019-08-15,2020-02-11,16,22,6,Scope creep,Completed,5817000.0,7354500.0,1537500.0,26.4,1,2951800.0,2406800.0,928100.0,702100.0,365700.0,226800.0,9.4,28,82.7,5603100.0,76.2,0.2297
SCL-0029,Road Construction,Maun,PM_Moeti,Private,2020-07-07,2022-01-28,2022-02-27,19,20,1,Design changes,Completed,4146000.0,3895800.0,-250200.0,0.0,0,1608800.0,1285200.0,437100.0,244000.0,320700.0,28300.0,2.2,18,85.9,3960800.0,98.3,0.3196
SCL-0030,Healthcare Facility,Serowe,PM_Moeti,Private,2019-03-19,2020-01-13,2020-01-13,10,10,0,None,Completed,2477000.0,2292900.0,-184100.0,0.0,0,826800.0,1000200.0,402000.0,160100.0,-96200.0,57500.0,5.8,14,92.1,2488300.0,91.5,0.1618
SCL-0031,Commercial Building,Serowe,PM_Moeti,Private,2021-11-23,2022-08-20,2022-12-18,9,13,4,Weather conditions,Completed,11055000.0,15187000.0,4132000.0,37.4,1,4279300.0,5513000.0,2045400.0,1309400.0,2039900.0,735100.0,13.3,36,85.4,11550500.0,76.1,0.2332
SCL-0032,Commercial Building,Serowe,PM_Segametsi,Government,2021-01-04,2023-02-23,2024-03-19,26,39,13,Labour disputes,Completed,15212000.0,17839800.0,2627800.0,17.3,1,7329400.0,6098300.0,2855000.0,1908600.0,-351500.0,772300.0,12.7,44,55.7,14105700.0,79.1,0.661
SCL-0033,Residential Building,Palapye,PM_Ditiro,Government,2024-03-26,2025-05-20,,14,15,1,Subcontractor failure,Active,10743000.0,15148000.0,4405000.0,41.0,1,5277600.0,6267100.0,2297500.0,1500900.0,-195100.0,1049100.0,16.7,30,,10320400.0,68.1,0.4751
SCL-0034,Residential Building,Palapye,PM_Ditiro,Government,2024-03-04,2025-09-25,,19,28,9,Weather conditions,Active,7075000.0,9915100.0,2840100.0,40.1,1,3152300.0,3348400.0,1144300.0,614300.0,1655800.0,236100.0,7.1,23,,7151300.0,72.1,0.3431
SCL-0035,Commercial Building,Serowe,PM_Ditiro,Private,2020-07-20,2021-12-12,2022-01-11,17,18,1,Subcontractor failure,Completed,15322000.0,15166800.0,-155200.0,0.0,0,4343300.0,4674100.0,2662200.0,1725800.0,1761400.0,230000.0,4.9,40,87.5,14868600.0,98.0,0.4494
SCL-0036,Education Infrastructure,Palapye,PM_Kebonye,Private,2023-05-11,2024-10-02,2025-03-01,17,22,5,Subcontractor failure,Completed,2113000.0,2287700.0,174700.0,8.3,1,798100.0,884300.0,256500.0,299900.0,48900.0,147400.0,16.7,12,81.9,2144000.0,93.7,0.4131
SCL-0037,Healthcare Facility,Serowe,PM_Kebonye,Private,2022-12-19,2024-08-10,2025-01-07,20,25,5,Subcontractor failure,Completed,4167000.0,5560100.0,1393100.0,33.4,1,1603700.0,2468800.0,895300.0,625800.0,-33500.0,165100.0,6.7,17,63.5,3797200.0,68.3,0.4713
SCL-0038,Road Construction,Maun,PM_Segametsi,Government,2020-08-06,2021-05-03,2021-09-30,9,14,5,Design changes,Completed,13338000.0,15890300.0,2552300.0,19.1,1,6361600.0,4936800.0,1925300.0,2051800.0,614800.0,442700.0,9.0,37,64.8,13299900.0,83.7,0.8304
SCL-0039,Commercial Building,Francistown,PM_Moeti,Government,2024-05-20,2026-08-08,,27,29,2,Labour disputes,Active,14682000.0,14324800.0,-357200.0,0.0,0,4818200.0,4882400.0,1934100.0,1572900.0,1117200.0,361300.0,7.4,39,,13270800.0,92.6,0.3707
SCL-0040,Residential Building,Serowe,PM_Moeti,Private,2024-06-18,2025-08-12,,14,22,8,Subcontractor failure,Active,8559000.0,12223400.0,3664400.0,42.8,1,4227700.0,4861600.0,1399800.0,1326600.0,407700.0,1000200.0,20.6,28,,8227400.0,67.3,0.1672
SCL-0041,Commercial Building,Gaborone,PM_Kebonye,Government,2022-06-29,2023-11-21,2024-10-16,17,28,11,Equipment breakdown,Completed,13099000.0,15813900.0,2714900.0,20.7,1,5143600.0,7045500.0,2232400.0,2353300.0,-960900.0,836400.0,11.9,31,69.1,12499900.0,79.0,0.5901
SCL-0042,Education Infrastructure,Maun,PM_Moeti,Government,2021-03-25,2022-09-16,2022-09-16,18,18,0,None,Completed,3656000.0,3451800.0,-204200.0,0.0,0,1025200.0,1539400.0,411300.0,227300.0,248600.0,124500.0,8.1,16,87.4,3834600.0,88.9,0.0801
SCL-0043,Road Construction,Maun,PM_Moeti,Government,2021-04-10,2023-09-27,2023-10-27,30,31,1,Subcontractor failure,Completed,6387000.0,5886100.0,-500900.0,0.0,0,1849000.0,2252600.0,1022700.0,593500.0,168300.0,131500.0,5.8,28,82.7,6145800.0,95.6,0.342
SCL-0044,Healthcare Facility,Palapye,PM_Moeti,Government,2024-07-03,2025-09-26,,15,15,0,None,Active,3529000.0,3390800.0,-138200.0,0.0,0,1020000.0,1291200.0,488800.0,353800.0,237000.0,70400.0,5.5,17,,3276000.0,96.6,0.2354
SCL-0045,Government Office,Francistown,PM_Segametsi,Government,2021-07-27,2022-02-22,2022-02-22,7,7,0,None,Completed,12194000.0,11817400.0,-376600.0,0.0,0,4406900.0,5000100.0,1650000.0,634600.0,125800.0,590400.0,11.8,40,68.6,12573600.0,93.6,0.6084
SCL-0046,Education Infrastructure,Gaborone,PM_Segametsi,Government,2019-09-25,2021-02-16,2022-01-12,17,28,11,Scope creep,Completed,1550000.0,2233200.0,683200.0,44.1,1,708200.0,878700.0,237700.0,185000.0,223600.0,103300.0,11.8,13,76.9,1601300.0,71.7,0.3996
SCL-0047,Education Infrastructure,Serowe,PM_Moeti,Government,2021-03-23,2022-05-17,2022-05-17,14,14,0,None,Completed,2021000.0,2005100.0,-15900.0,0.0,0,739300.0,864000.0,311800.0,281400.0,-191400.0,55600.0,6.4,13,91.5,1932500.0,96.4,0.213
SCL-0048,Residential Building,Francistown,PM_Segametsi,Government,2019-12-19,2020-11-13,2021-02-11,11,14,3,Equipment breakdown,Completed,9821000.0,14588300.0,4767300.0,48.5,1,5350400.0,4903500.0,1625900.0,1402200.0,1306300.0,1006100.0,20.5,25,60.9,10024200.0,68.7,0.5478
SCL-0049,Commercial Building,Serowe,PM_Kebonye,Government,2021-05-10,2023-06-29,2024-04-24,26,36,10,Cash flow constraints,Completed,17124000.0,25217700.0,8093700.0,47.3,1,7764300.0,9020500.0,3000300.0,2703100.0,2729500.0,1192000.0,13.2,46,60.5,16428300.0,65.1,0.5519
SCL-0050,Road Construction,Serowe,PM_Moeti,Private,2021-03-18,2024-01-02,2024-02-01,34,35,1,Weather conditions,Completed,19394000.0,19037000.0,-357000.0,0.0,0,7467700.0,6336500.0,2285400.0,2390200.0,557200.0,247200.0,3.9,51,88.7,19334900.0,98.4,0.4067
SCL-0051,Commercial Building,Maun,PM_Moeti,Government,2021-04-23,2022-02-17,2022-09-15,10,17,7,Equipment breakdown,Completed,13718000.0,19798600.0,6080600.0,44.3,1,7973000.0,7026100.0,2411500.0,1315700.0,1072300.0,950700.0,13.5,34,94.4,14137200.0,71.4,0.2946
SCL-0052,Road Construction,Maun,PM_Moeti,Government,2022-06-16,2025-05-01,,35,36,1,Cash flow constraints,Active,24263000.0,22701300.0,-1561700.0,0.0,0,7518900.0,9502800.0,3244600.0,2167500.0,267500.0,203300.0,2.1,50,,24829800.0,90.6,0.5172
SCL-0053,Commercial Building,Gaborone,PM_Kebonye,Government,2021-09-05,2023-09-25,2024-07-21,25,35,10,Equipment breakdown,Completed,11913000.0,17415900.0,5502900.0,46.2,1,7093700.0,6014200.0,1936300.0,2518800.0,-147100.0,718200.0,11.9,30,62.6,11682300.0,67.1,0.59
SCL-0054,Education Infrastructure,Maun,PM_Ditiro,Government,2022-09-13,2023-09-08,2023-09-08,12,12,0,None,Completed,4664000.0,4392900.0,-271100.0,0.0,0,1774500.0,1749400.0,655600.0,632200.0,-418800.0,180800.0,10.3,19,83.8,4508700.0,97.4,0.2754
SCL-0055,Residential Building,Palapye,PM_Moeti,Private,2018-09-06,2020-01-29,2020-07-27,17,23,6,Design changes,Completed,5357000.0,7896300.0,2539300.0,47.4,1,2713600.0,3153900.0,1166800.0,411700.0,450300.0,501800.0,15.9,25,94.8,4986200.0,63.1,0.1508
SCL-0056,Healthcare Facility,Francistown,PM_Kebonye,Private,2019-08-28,2021-02-18,2021-02-18,18,18,0,None,Completed,3017000.0,2873200.0,-143800.0,0.0,0,916000.0,1286100.0,411500.0,373100.0,-113500.0,152700.0,11.9,14,79.1,2877400.0,99.9,0.5045
SCL-0057,Residential Building,Serowe,PM_Ditiro,Government,2022-09-21,2023-07-18,2023-08-17,10,11,1,Cash flow constraints,Completed,4286000.0,4019200.0,-266800.0,0.0,0,1414200.0,1271500.0,705900.0,218400.0,409200.0,89500.0,7.0,24,79.2,3896500.0,96.9,0.2398
SCL-0058,Education Infrastructure,Maun,PM_Segametsi,Government,2022-12-22,2024-06-14,2024-12-11,18,24,6,Scope creep,Completed,3349000.0,3651700.0,302700.0,9.0,1,1333500.0,1131500.0,550100.0,382800.0,253800.0,109500.0,9.7,18,77.9,3242000.0,88.8,0.4732
SCL-0059,Healthcare Facility,Maun,PM_Moeti,Private,2024-03-08,2025-07-01,,16,17,1,Labour disputes,Active,2092000.0,2053800.0,-38200.0,0.0,0,672500.0,755800.0,221000.0,190300.0,214200.0,46600.0,6.2,17,,2098300.0,97.8,0.2241
SCL-0060,Education Infrastructure,Gaborone,PM_Moeti,Private,2022-03-07,2022-08-04,2022-09-03,5,6,1,Scope creep,Completed,1285000.0,1227800.0,-57200.0,0.0,0,444600.0,471800.0,134800.0,104800.0,71800.0,25000.0,5.3,12,92.8,1343200.0,90.6,0.0922
SCL-0061,Healthcare Facility,Palapye,PM_Ditiro,Government,2023-05-30,2024-01-25,2024-02-24,8,9,1,Material delivery delays,Completed,5158000.0,5006300.0,-151700.0,0.0,0,1936300.0,1933000.0,839100.0,738200.0,-440300.0,194700.0,10.1,24,82.2,5178700.0,96.6,0.3996
SCL-0062,Road Construction,Francistown,PM_Ditiro,Private,2021-12-08,2023-06-01,2024-02-26,18,27,9,Design changes,Completed,9798000.0,14549400.0,4751400.0,48.5,1,5227400.0,5239500.0,2191900.0,772100.0,1118500.0,388300.0,7.4,30,77.5,9049500.0,62.2,0.5726
SCL-0063,Commercial Building,Palapye,PM_Moeti,Private,2018-07-23,2020-10-10,2020-10-10,27,27,0,None,Completed,4489000.0,4314600.0,-174400.0,0.0,0,1475100.0,1471200.0,470700.0,401200.0,496400.0,140500.0,9.5,21,89.5,4489300.0,96.0,0.2541
SCL-0064,Road Construction,Francistown,PM_Segametsi,Private,2021-05-19,2022-07-13,2022-07-13,14,14,0,None,Completed,4205000.0,3946900.0,-258100.0,0.0,0,1527400.0,1355400.0,551700.0,367300.0,145100.0,43400.0,3.2,18,67.2,4136900.0,95.2,0.6856
SCL-0065,Government Office,Palapye,PM_Moeti,Government,2018-03-18,2019-10-09,2019-10-09,19,19,0,None,Completed,11776000.0,11371600.0,-404400.0,0.0,0,3827900.0,4503400.0,1505600.0,1667300.0,-132600.0,220400.0,4.9,33,94.1,11816500.0,96.1,0.2394
SCL-0066,Commercial Building,Gaborone,PM_Segametsi,Private,2022-06-29,2024-08-17,2024-12-15,26,30,4,Design changes,Completed,5893000.0,7353800.0,1460800.0,24.8,1,2378500.0,2580600.0,834300.0,743100.0,817300.0,275100.0,10.7,22,75.8,5946700.0,80.9,0.6345
SCL-0067,Government Office,Francistown,PM_Kebonye,Government,2024-10-03,2025-08-29,,11,16,5,Labour disputes,Active,5700000.0,8696200.0,2996200.0,52.6,1,3199400.0,3214100.0,1272800.0,1027100.0,-17200.0,468700.0,14.6,27,,5666300.0,65.2,0.5269
SCL-0068,Residential Building,Maun,PM_Moeti,Government,2024-08-19,2025-10-13,,14,16,2,Scope creep,Active,8130000.0,10598800.0,2468800.0,30.4,1,3428300.0,3898100.0,1765100.0,611300.0,896000.0,232600.0,6.0,28,,7993000.0,75.4,0.2598
SCL-0069,Government Office,Gaborone,PM_Segametsi,Private,2021-08-09,2022-08-04,2022-08-04,12,12,0,None,Completed,9646000.0,9298300.0,-347700.0,0.0,0,3659200.0,3957400.0,992600.0,1065700.0,-376600.0,467900.0,11.8,37,71.3,9439700.0,98.5,0.5516
SCL-0070,Healthcare Facility,Francistown,PM_Ditiro,Government,2021-10-17,2022-10-12,2022-10-12,12,12,0,None,Completed,3407000.0,3392700.0,-14300.0,0.0,0,1249600.0,1188100.0,490700.0,300800.0,163500.0,62900.0,5.3,21,87.0,3374300.0,99.5,0.3509
SCL-0071,Residential Building,Palapye,PM_Moeti,Government,2021-06-24,2022-11-16,2022-12-16,17,18,1,Subcontractor failure,Completed,2985000.0,2842900.0,-142100.0,0.0,0,1169300.0,984900.0,464300.0,373300.0,-148900.0,56800.0,5.8,16,89.0,2848500.0,99.8,0.2408
SCL-0072,Commercial Building,Palapye,PM_Kebonye,Private,2020-02-26,2022-01-16,2022-10-13,23,32,9,Material delivery delays,Completed,7468000.0,8355100.0,887100.0,11.9,1,2429700.0,3564800.0,1350800.0,1115500.0,-105700.0,239500.0,6.7,31,74.6,7413500.0,88.7,0.5217
SCL-0073,Healthcare Facility,Maun,PM_Kebonye,Government,2025-01-02,2026-06-26,,18,26,8,Design changes,Active,7684000.0,9646700.0,1962700.0,25.5,1,3614500.0,3237700.0,1184600.0,1204400.0,405500.0,406400.0,12.6,28,,7272300.0,75.4,0.5193
SCL-0074,Education Infrastructure,Francistown,PM_Ditiro,Government,2023-03-07,2024-01-31,2024-03-01,11,12,1,Material delivery delays,Completed,3766000.0,3531600.0,-234400.0,0.0,0,1237500.0,1281300.0,409600.0,390100.0,213100.0,46400.0,3.6,22,82.8,3702700.0,95.2,0.2608
SCL-0075,Road Construction,Serowe,PM_Moeti,Government,2023-01-15,2024-05-09,2025-02-03,16,25,9,Labour disputes,Completed,19789000.0,30142700.0,10353700.0,52.3,1,9377000.0,11082500.0,3078600.0,1667700.0,4936900.0,1212800.0,10.9,53,82.0,18923000.0,62.8,0.4723
SCL-0076,Road Construction,Palapye,PM_Moeti,Private,2019-08-22,2022-05-08,2022-06-07,33,34,1,Subcontractor failure,Completed,17299000.0,20645300.0,3346300.0,19.3,1,8179000.0,8349200.0,3229800.0,1958400.0,-1071100.0,614500.0,7.4,36,78.3,15957100.0,77.3,0.4207
SCL-0077,Government Office,Serowe,PM_Segametsi,Government,2019-05-15,2020-08-07,2020-08-07,15,15,0,None,Completed,6101000.0,5877900.0,-223100.0,0.0,0,1737000.0,2561400.0,595500.0,596800.0,387200.0,204100.0,8.0,24,58.3,6053500.0,97.0,0.6303
SCL-0078,Residential Building,Serowe,PM_Segametsi,Government,2022-01-17,2023-11-08,2024-10-03,22,33,11,Scope creep,Completed,8516000.0,11181800.0,2665800.0,31.3,1,3925100.0,5012200.0,1467500.0,1084800.0,-307800.0,722800.0,14.4,26,77.6,7685100.0,68.7,0.558
SCL-0079,Road Construction,Palapye,PM_Kebonye,Private,2024-07-11,2027-02-26,,32,38,6,Weather conditions,Active,16822000.0,22255600.0,5433600.0,32.3,1,8766300.0,7261200.0,3052800.0,2660400.0,514900.0,1324800.0,18.2,33,,17098400.0,76.8,0.6799
SCL-0080,Education Infrastructure,Gaborone,PM_Ditiro,Government,2018-06-21,2019-12-13,2019-12-13,18,18,0,None,Completed,4914000.0,4792100.0,-121900.0,0.0,0,1609000.0,2023800.0,493200.0,549600.0,116500.0,136300.0,6.7,18,87.2,4905900.0,97.6,0.2498
SCL-0081,Commercial Building,Gaborone,PM_Ditiro,Government,2022-05-03,2024-02-22,2024-04-22,22,24,2,Weather conditions,Completed,8400000.0,8153100.0,-246900.0,0.0,0,3192900.0,2772100.0,1092200.0,758700.0,337200.0,78300.0,2.8,26,80.9,7660900.0,94.0,0.4249
SCL-0082,Government Office,Palapye,PM_Ditiro,Government,2022-12-24,2023-11-19,2023-12-19,11,12,1,Subcontractor failure,Completed,11471000.0,12287500.0,816500.0,7.1,1,4937200.0,4336100.0,1498600.0,1818600.0,-303000.0,952600.0,22.0,32,83.4,11206700.0,91.2,0.4346
SCL-0083,Government Office,Francistown,PM_Moeti,Government,2018-05-23,2020-01-13,2020-01-13,20,20,0,None,Completed,10095000.0,9802500.0,-292500.0,0.0,0,4047700.0,2988400.0,1333100.0,853800.0,579500.0,105600.0,3.5,27,79.3,9641200.0,98.4,0.2762
SCL-0084,Commercial Building,Palapye,PM_Kebonye,Private,2023-08-07,2024-08-31,,13,21,8,Design changes,Active,2415000.0,3638900.0,1223900.0,50.7,1,1078900.0,1514700.0,426400.0,404600.0,214300.0,257000.0,17.0,13,,2482400.0,68.2,0.5382
SCL-0085,Education Infrastructure,Francistown,PM_Segametsi,Private,2021-08-02,2022-12-25,2022-12-25,17,17,0,None,Completed,5015000.0,4898500.0,-116500.0,0.0,0,1577300.0,1585300.0,764300.0,330200.0,641400.0,144200.0,9.1,26,60.2,5109300.0,95.7,0.4563
SCL-0086,Residential Building,Maun,PM_Moeti,Government,2024-03-09,2025-10-30,,20,20,0,None,Active,7509000.0,6977800.0,-531200.0,0.0,0,2018000.0,2510100.0,965000.0,635500.0,849200.0,230200.0,9.2,28,,6899300.0,98.9,0.1192
SCL-0087,Commercial Building,Gaborone,PM_Segametsi,Government,2024-03-08,2025-03-03,2025-03-03,12,12,0,None,Completed,10278000.0,9922300.0,-355700.0,0.0,0,4043300.0,3059200.0,1113700.0,659500.0,1046600.0,99200.0,3.2,30,71.3,10700800.0,92.2,0.6312
SCL-0088,Commercial Building,Gaborone,PM_Ditiro,Government,2019-05-28,2020-09-19,2020-10-19,16,17,1,Labour disputes,Completed,17302000.0,16451500.0,-850500.0,0.0,0,4821600.0,6517200.0,2409400.0,1104200.0,1599100.0,516000.0,7.9,42,86.9,17713500.0,92.3,0.4621
SCL-0089,Road Construction,Gaborone,PM_Moeti,Private,2020-05-13,2021-09-05,2021-10-05,16,17,1,Cash flow constraints,Completed,19962000.0,19166700.0,-795300.0,0.0,0,7049600.0,6582800.0,2657200.0,2500700.0,376400.0,761400.0,11.6,48,85.7,18439100.0,96.2,0.4553
SCL-0090,Education Infrastructure,Maun,PM_Segametsi,Government,2021-07-31,2022-04-27,2022-04-27,9,9,0,None,Completed,3955000.0,3682700.0,-272300.0,0.0,0,1534000.0,1177000.0,533700.0,301700.0,136300.0,67200.0,5.7,17,61.2,3616900.0,98.2,0.4382
SCL-0091,Commercial Building,Maun,PM_Segametsi,Government,2021-09-03,2022-09-28,2023-04-26,13,20,7,Equipment breakdown,Completed,15845000.0,17899600.0,2054600.0,13.0,1,7507700.0,6623300.0,2502200.0,1056200.0,210200.0,1321000.0,19.9,35,77.2,15099200.0,84.4,0.7523
